Time,Air Temp degC - min,Air Temp degC - ave,Air Temp degC - max,Air Temp (Canopy) degC - ave,Humidity % - ave,Humidity (Canopy) % - ave,Wind Speed km/h - min,Wind Speed km/h - ave,Wind Speed km/h - max,Rainfall mm - raw,Solar Radiation W/m^2 - ave,ETo mm - computed,Soil Temp degC - ave
30/05/2022,9.1,10.7,13.5,11,89.8,92.8,0,12.1,35.2,24.6,44.8,1.5,13.1
31/05/2022,7.3,10.5,13.7,10.8,75.4,77.2,2.4,12.9,47.8,1.8,107.9,1,12.3
01/06/2022,4.6,8.3,13,9.2,83.1,83.4,0,4.1,20.9,0,112.2,1.3,11.4
02/06/2022,6.4,9.4,13.3,10,82.9,84.3,0,2.3,14.2,0,55.4,0.8,11.6
03/06/2022,7.6,11.3,15.1,11.7,74.8,75.6,0,4.7,21.8,0,98.9,0.9,12.2
04/06/2022,8.8,12.7,16.7,12.9,70.1,70.6,0,9.7,36,0,113.1,1.2,12.6
05/06/2022,7.7,10.4,13.1,10.7,78.6,80.6,0.8,11.1,36.9,8,41.8,2.2,12.1
06/06/2022,6.8,9.8,14.1,10.3,77.2,78.2,0.8,10.4,33.5,0,115.4,1,11.2
07/06/2022,6.9,9.7,14.6,10.3,81.4,82,0,6.2,24.3,0.2,96.6,1.2,11.3
08/06/2022,6.2,9.2,12.7,9.8,84,84.4,0,4.1,18.4,0,74.9,1,11.3
09/06/2022,7.5,10.8,14,11.2,79.1,80,0,7.3,30.1,0,74.2,0.9,11.6
10/06/2022,7.2,11,14.5,11.4,85.6,86.1,0,6.5,25.1,0.8,82.5,1.1,12
11/06/2022,8.4,11,14.9,11.5,84.1,84.7,0,5.7,23.4,0,81.6,0.9,12.6
12/06/2022,9.5,11.4,14,11.8,76.7,76.9,0,6.2,24.3,0,51.8,1.1,12.4
13/06/2022,6.1,9.6,12.5,10.2,82,83,0,2.6,14.2,0,40.3,0.9,12.4
14/06/2022,4.7,10.4,16.5,11,68.6,68.4,0.8,8.4,28.5,0,118.3,0.8,11.5
15/06/2022,8.8,13.4,18.5,13.7,69.8,69.6,0,9.5,33.5,0,88.9,2,12.3
16/06/2022,8.8,12.2,16.8,12.6,84.5,84.4,0,4.2,21.8,0,62.2,1.2,12.9
17/06/2022,8,11.8,15.3,12.3,80.9,81,0,1.1,10,0,58.4,0.9,13.2
18/06/2022,2.8,10.1,16.3,10.9,73.7,73.3,0,3.3,16.7,0,136.1,0.8,12.7
19/06/2022,7.3,10.2,12.4,10.7,79,79,0,6.3,20.9,0,30.6,1.2,11.8
20/06/2022,10.2,13.1,17.2,13.3,73,72.7,0,5.8,26.8,0,53.9,1,12.5
